AREA,PERIMETER,COLUMBUS_,COLUMBUS_I,POLYID,NEIG,HOVAL,INC,CRIME,OPEN,PLUMB,DISCBD,X,Y,NSA,NSB,EW,CP,THOUS,NEIGNO
0.309441,2.440629,2,5,1,5,80.467003,19.531,15.72598,2.850747,0.217155,5.03,38.799999,44.07,1,1,1,0,1000,1005
0.259329,2.236939,3,1,2,1,44.567001,21.232,18.801754,5.29672,0.320581,4.27,35.619999,42.380001,1,1,0,0,1000,1001
0.192468,2.187547,4,6,3,6,26.35,15.956,30.626781,4.534649,0.374404,3.89,39.82,41.18,1,1,1,0,1000,1006
0.083841,1.427635,5,2,4,2,33.200001,4.477,32.38776,0.394427,1.186944,3.7,36.5,40.52,1,1,0,0,1000,1002
0.488888,2.997133,6,7,5,7,23.225,11.252,50.73151,0.405664,0.624596,2.83,40.009998,38,1,1,1,0,1000,1007
0.283079,2.335634,7,8,6,8,28.75,16.028999,26.066658,0.563075,0.25413,3.78,43.75,39.279999,1,1,1,0,1000,1008
0.257084,2.554577,8,4,7,4,75,8.438,0.178269,0,2.402402,2.74,33.360001,38.41,1,1,0,0,1000,1004
0.204954,2.139524,9,3,8,3,37.125,11.337,38.425858,3.483478,2.739726,2.89,36.709999,38.709999,1,1,0,0,1000,1003
0.500755,3.169707,10,18,9,18,52.599998,17.586,30.515917,0.527488,0.890736,3.17,43.439999,35.919998,1,1,1,0,1000,1018
0.246689,2.087235,11,10,10,10,96.400002,13.598,34.000835,1.548348,0.557724,4.33,47.610001,36.419998,1,1,1,0,1000,1010
0.041012,0.919488,12,38,11,38,19.700001,7.467,62.275448,0,1.479915,1.9,37.849998,36.299999,1,1,0,1,1000,1038
0.035769,0.902125,13,37,12,37,19.9,10.048,56.705669,3.157895,2.635046,1.91,37.130001,36.119999,1,1,0,1,1000,1037
0.034377,0.93659,14,39,13,39,41.700001,9.549,46.716129,0,6.328423,2.09,35.950001,36.400002,1,1,0,1,1000,1039
0.060884,1.128424,15,40,14,40,42.900002,9.963,57.066132,0.477104,5.110962,1.83,35.720001,35.599998,1,1,0,1,1000,1040
0.106653,1.437606,16,9,15,9,18,9.873,48.585487,0.174325,1.311475,1.7,39.610001,34.91,1,1,1,1,1000,1009
0.093154,1.340061,17,36,16,36,18.799999,7.625,54.838711,0.533737,4.6875,1.1,37.599998,34.080002,1,1,0,1,1000,1036
0.102087,1.382359,18,11,17,11,41.75,9.798,36.868774,0.448232,1.619745,4.47,48.580002,34.459999,1,1,1,0,1000,1011
